name,description,model,chassis,type,year,price,image,manufacturer_id,mechanical_details.engine,mechanical_details.cylinders,mechanical_details.fuel,mechanical_details.mileage,mechanical_details.transmission,mechanical_details.drivetrain,body_details.trim,body_details.doors,body_details.exterior_color,body_details.interior_color
Hyundai Santa Cruz 2.5T Limited,"Atlas White 2024 Hyundai Santa Cruz Limited AWD Shiftronic 2.5L I419/27 City/Highway MPGMastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Central New York completely satisfied with your experience at Mastrovito Hyundai. Whether we can amaze you with incredible new and pre-owned vehicle selection, our dedication to incredible customer service or our transparent and accommodating auto loan and lease options, we look forward to serving you at Mastrovito Hyundai.
      
    Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Manlius completely satisfied with your experience at Mastrovito Hyundai.",Santa Cruz,Pickup Truck,New,2024,43419.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe17979,16V PDI DOHC Turbo,4,Gasoline,1.0,8-Speed Automatic with Auto-Shift,All-wheel Drive,2.5T Limited,4,Atlas,Dark Gray
Hyundai Santa Cruz 2.5T XRT,"Priced below KBB Fair Purchase Price! 19/27 City/Highway MPGWhen you do the math, you choose McGrath!!!",Santa Cruz,Pickup Truck,New,2024,38574.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe17979,16V PDI DOHC Turbo,4,Gasoline,12.0,8-Speed Automatic with Auto-Shift,All-wheel Drive,2.5T XRT,4,Blue Stone,Black
Ford Explorer Timberline,Star White Metallic Tri-Coat 2024 Ford Explorer Timberline 4WD 10-Speed Automatic 2.3L EcoBoost I-4 4WD.,Explorer,SUV,New,2024,53190.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17978,16V GDI DOHC Turbo,4,Gasoline,15.0,10-Speed Automatic,Four-wheel Drive,Timberline,4,Star White,Ebony
Volkswagen Taos 1.5T SE,Blue 2024 Volkswagen Taos 1.5T SE AWD 7-Speed DSG Automatic with Tiptronic 1.5L I4 Turbocharged DOHC 16V LEV3-SULEV30 158hp24/32 City/Highway MPG,Taos,SUV,New,2024,32751.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797b,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,25.0,7-Speed DSG Automatic with Tiptronic,All-wheel Drive,1.5T SE,4,Blue,Black Cloud
Volkswagen Jetta 1.4T S,"Text Bryan Franks @ 256-333-91052024 VW Jetta 1.5T Sport in Pyrite Silver Metallic exterior with Titan Black cloth interiorMonster Mats® (set of 4) & Heavy Duty Trunk Liner w/ VW CarGo Blocks $296.00VW Care: Prepaid Scheduled Maintenance Contract w/ 30,000-mile servicing for Sedans/Hatchbacks $195.00First Aid Kit & Roadside Assistance Kit $110.00Displayed selling price requires financing new vehicle through a Hiley Volkswagen of Huntsville preferred lender at the dealership choosing. Subject to credit approval. This offer cannot be combine with special financing rates if available. This offer cannot be combined with lease offers. Additional bonus available for Military/First Responders and recent College Graduates (not all will qualify). Pricing excludes taxes, title, fees, and accessories.",Jetta,Sedan,New,2024,24348.0,../static/img/vehicle_sample_sedan.png,66a2529221c4bf0e6fe1797b,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,13.0,8-Speed Automatic with Tiptronic,Front-wheel Drive,1.4T S,4,Pyrite Silver Metallic,Titan Black
Dodge Hornet R/T,This Dodge won't be on the lot long! It delivers style and power in a single package! A turbocharger is also included as an economical means of increasing performance. We have a skilled and knowledgeable sales staff with many years of experience satisfying our customers needs. They'll work with you to find the right vehicle at a price you can afford. Please don't hesitate to give us a call.,Hornet,SUV,New,2024,39491.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17975,16V GDI DOHC Turbo Hybrid,4,Hybrid,5.0,6-Speed Automatic,All-wheel Drive,R/T,4,HOT TAMALE,Black
Hyundai Santa Cruz 2.5L SEL,"Blue Stone 2024 Hyundai Santa Cruz SEL AWD 8-Speed Automatic with SHIFTRONIC 2.5L I4Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Central New York completely satisfied with your experience at Mastrovito Hyundai. Whether we can amaze you with incredible new and pre-owned vehicle selection, our dedication to incredible customer service or our transparent and accommodating auto loan and lease options, we look forward to serving you at Mastrovito Hyundai.
      
    Mastrovito Hyundai is proud to serve the drivers of Utica and Rome with a dedication to incredible customer service, and a wide selection of incredible new Hyundai models in Yorkville, NY. Our team proudly comes to work every day with the goal of meeting your needs and sending you back onto the roads of Manlius completely satisfied with your experience at Mastrovito Hyundai.",Santa Cruz,Pickup Truck,New,2024,33160.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe17979,16V PDI DOHC,4,Gasoline,1.0,8-Speed Automatic,All-wheel Drive,2.5L SEL,4,Blue Stone,Black
Jeep Compass Limited,"$2,437 off MSRP! Buy with confidence knowing you have our $500 Best Price Guarantee: Simply put, no other dealer will beat our price on any of our in-stock units. Price does not include Tax, Title, License, Destination Fee and $229 Documentation Fee. Factory MSRP: $35,935Price includes $99 wheel locks, $299 Pulse, $399 Waypoint, and $149 Door edge guard & cup protector2024 Jeep Compass Limited Baltic Gray Metallic Clearcoat 4WD 2.0L I4 DOHC Price does not include Tax, Title, License, Destination Fee and Documentation Fee; Price does include: $500 - 2024 DJR National Retail Consumer Cash 24CR1. Exp. 06/03/2024 $500 - 2024 JEEP SFS Bonus Cash GLCR1. Exp. 06/03/2024  Price includes $946 of dealer added accessories.
      
    All New Vehicle pricing includes Rebate,Owner Loyalty Bonus Cash,Credit Union Bonus Cash and Great Lakes Bonus Cash zip code must be verified.",Compass,SUV,New,2024,34084.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,DOHC,4,Gasoline,12.0,8-Speed Automatic,Four-wheel Drive,Limited,4,Baltic Gray Metallic Clearcoat,Black
RAM 2500 Tradesman,"Since 1947, Shimkat Motor Company has been the premier retailer of new and used Chrysler, Dodge and Jeep vehicles for the Fort Dodge area. Our dedicated sales staff, knowledgeable finance associates, and expertly trained technicians are all here to make your experience fun, easy and hassle-free! Please print out this ad and mention you came from Cars.com to secure this Internet price!",2500,Pickup Truck,New,2024,58855.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe17976,16V MPFI OHV,8,Gasoline,0.0,Automatic,Four-wheel Drive,Tradesman,4,Granite,Black
Nissan Murano SV,"This 2024 Nissan Murano SV will sell fast! This Murano has many valuable options! Satellite radio. Aux. Audio Input. -Heated Front Seats -Heated Mirrors -Auto Climate Control -Automatic Headlights -Multi-Zone Air Conditioning -Security System -Keyless Entry -Steering Wheel Controls -Leather Steering Wheel -Roof Rack -Automatic Transmission -Alloy Wheels On top of that, it has many safety features! -Brake Assist -Traction Control -Stability Control Save money at the pump, knowing this Nissan Murano gets 28.0/20.0 MPG! Call Coggin Nissan on Atlantic at (904) 747-3915 to confirm availability and schedule a no-obligation test drive! We are located at 10600 Atlantic Boulevard, Jacksonville, FL 32225.
      
    Can't find your next car in our inventory? We have spent years building our reputation as being a leading Nissan dealer in the state of FL; come experience why! Our sales staff at Coggin Nissan on Atlantic has extensive knowledge of and passion for the Nissan brand. Our wide selection of new inventory will allow you to find the perfect vehicle to fit your needs.",Murano,SUV,New,2024,39867.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17977,24V MPFI DOHC,6,Gasoline,2.0,Automatic CVT,Front-wheel Drive,SV,4,White,Graphite
Ford Transit-250 148 WB Medium Roof Cargo,"Load Area Protection Package,Reverse Sensing System,Radio: AM/FM Stereo W/Sync 3,Front & Rear Vinyl Floor Covering,Front Fog Lamps,2 Additional Keys (4 Total),Full Rear Compartment Lighting,3.73 Axle Ratio,Dark Palazzo Gray; Vinyl Front Bucket Seats,Engine: 3.5L Pfdi V6 Flex-Fuel,Front License Plate Bracket,Order Code 101A,Oxford White,Transmission: 10-Spd Automatic W/Od & Selectshift",Transit-250,Van,New,2024,53595.0,../static/img/vehicle_sample_van.png,66a2529221c4bf0e6fe17978,24V PDI DOHC Flexible Fuel,6,E85 Flex Fuel,10.0,Automatic,Rear-wheel Drive,148 WB Medium Roof Cargo,3,Oxford White,Dark Palazzo Gray
Jeep Grand Cherokee 4xe Trailhawk,"Diamond Black Crystal Pearlcoat 2023 Jeep Grand Cherokee Trailhawk 4xe 4WD 8-Speed Automatic 2.0L I4 DOHC 2.0L I4 DOHC, 4WD. Clement Chrysler Dodge Jeep Ram of Columbia is pleased to offer this 2023 Jeep Grand Cherokee Trailhawk 4xe in Diamond Black Crystal Pearlcoat with Global Black Leather. This Grand Cherokee is very well equipped with 2.0L I4 DOHC and 4WD. This vehicle won't be on the lot long! Very well priced! Rest assured you are getting the best deal possible on every new car as most are already discounted thousands below market retail value! You can purchase the vehicle by paying cash or let our experienced business managers get you the best rate through our 70+ elite lending partners. You'll never pay more at Clement. Buying a vehicle from us is easy. The price you see is the price you get with our no-haggle pricing! Price excludes tax, title, tags and administrative fee. We will pay top dollar for your car! Bring your vehicle in today for a free appraisal. Please call to confirm all vehicle information, pricing, features, and availability. We strive to describe our cars as truthfully as possible and make every attempt to ensure accurate pricing and options on every vehicle. Dealer is not responsible for computer errors, human errors, or third party errors with pricing or description of vehicle including options or features. We recommend you contact the dealer to ensure accuracy of advertised vehicles. Please see the dealer website for full pricing details. Price includes: $1000 - 2023 CDJ Bonus Cash 23CPA. Exp. 06/03/2024 $1000 - 2023 CJ Retail Bonus Cash 23CPA1. Exp. 06/03/2024 $2000 - 2023 JEEP Midwest BC Retail Bonus Cash MWCPA1. Exp. 06/03/2024",Grand Cherokee 4xe,SUV,New,2023,59547.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe17973,16V GDI DOHC Turbo Hybrid,4,Hybrid,185.0,8-Speed Automatic,Four-wheel Drive,Trailhawk,4,Diamond Black,Global Black
Volkswagen Jetta 1.4T SE,"Text Bryan Franks @ 256-333-91052024 VW Jetta 1.5 T SE in Pyrite Silver Metallic exterior with Titan Black leatherette interiorPower Tilting & Sliding Panoramic Sunroof $850.00Auto-Dimming Rearview Mirror w/ HomeLink Connect® & 4-year app subscr. (Must accept Terms; see connect.homelink.com) $405.00Black Wheel Package: 17'' black painted alloy wheels $395.00Monster Mats® (set of 4) & Heavy Duty Trunk Liner w/ VW CarGo Blocks $296.00VW Care: Prepaid Scheduled Maintenance Contract w/ 30,000-mile servicing for Sedans/Hatchbacks $195.00First Aid Kit & Roadside Assistance Kit $110.00Displayed selling price requires financing new vehicle through a Hiley Volkswagen of Huntsville preferred lender at the dealership choosing. Subject to credit approval. This offer cannot be combine with special financing rates if available. This offer cannot be combined with lease offers. Additional bonus available for Military/First Responders and recent College Graduates (not all will qualify). Pricing excludes taxes, title, fees, and accessories.",Jetta,Sedan,New,2024,27175.0,../static/img/vehicle_sample_sedan.png,66a2529221c4bf0e6fe1797b,"4 gasoline direct injection, DOHC, variable valve control",4,Gasoline,5.0,8-Speed Automatic with Tiptronic,Front-wheel Drive,1.4T SE,4,Pyrite Silver Metallic,Titan Black
Chevrolet Silverado 1500 RST,"Summit White 2024 Chevrolet Silverado 1500 RST 4WD 10-Speed Automatic EcoTec3 5.3L V8 10-Speed Automatic, 4WD, Black Cloth. Price includes: $1250 - Customer Cash. Exp. 06/03/2024 $1750 - Bonus Cash. Exp. 06/03/2024.PLEASE CALL NEW SALES AT 1(866)-699-7430  OR (325)-823-3261 FOR MORE INFO. THANK YOU FOR  LOOKING.",Silverado 1500,Pickup Truck,New,2024,58610.0,../static/img/vehicle_sample_pickup-truck.png,66a2529221c4bf0e6fe1797a,16V GDI OHV,8,Gasoline,0.0,Automatic,Four-wheel Drive,RST,4,Summit White,Jet Black
Kia Seltos EX,"NEW PRICE!!!!, THIS NEW VEHICLE MIGHT QUALIFY FOR REBATES AND INCENTIVES THAT ARE NOT SHOWN IN THIS PRICE., 5YR 60,000 MILE BUMPER TO BUMPER WARRANTY / 10 YR 100,000 MILE LIMITED POWER TRAIN WARRANTY, LEATHER SEATS, HEATED SEATS, BLUETOOTH, REMOTE START, BACKUP CAMERA, MUST SEE!!!, HARD TO FIND!!!, SHOTTENKIRK PREMIER ADAVANTAGE. 27/31 City/Highway MPG All of our New and Pre-Owned Vehicles come with added value, our exclusive Premier Advantage . This includes Wheel Repair, Dent and Ding Repair, Front Windshield Repair, and Key Replacement! Exclusive of published sales price, all vehicles are equipped with the NitroFill product, of nitrogen based gas in the tires for extended tire life and enhanced fuel economy. Beautiful Quincy, IL is located on the Mississippi River on the Illinois & Missouri border. Our mission at Shottenkirk Automotive is to make sure you are 100% completely satisfied with your ownership experience. We want you to be completely satisfied; not only with the vehicle you buy, but also the way you buy your vehicle. Our professional sales & management staff will work hard to make your visit to Shottenkirk Automotive a great car buying experience. Such a great experience that you will have the confidence to buy from us again, and also tell your friends & family to do the same.
      
    Our Mission at Shottenkirk Chevrolet is to make sure you are 100% Completely Satisfied with your Ownership Experience. Satisfied not only with the vehicle you buy, but also the way you buy your vehicle. Our sales department will earn your Trust and Satisfaction by listening to your needs, so we can help you find the perfect vehicle and a way to make it affordable.",Seltos,SUV,New,2024,29640.0,../static/img/vehicle_sample_suv.png,66a2529221c4bf0e6fe1797d,16V MPFI DOHC,4,Gasoline,16.0,Automatic CVT,All-wheel Drive,EX,4,Steel Gray,Black
